nm_id;вендор_код;товар;остаток_витрина;заказов_с_01.06;выручка_с_01.06_₽;заказов_август;выручка_август_₽;маржа_%;наша_цена_₽;вышел_из_сумрака
199333247;1155;Картридж CF363X для HP LJ M553x, LJ M553x пурпурный;14;2;10094;2;10094;35.7;7958;
209664075;3560;Картридж PFI-120MBK для Canon iPF TM205 черный матовый;15;2;9061;2;9061;37.5;8334;
209713808;3837;Картридж MX-315GT для Sharp MX-M265, MX-M266 черный;5;1;8395;1;8395;34.7;13750;
181104934;0005;Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг ;2;1;6675;1;6675;50.9;10010;
1208295657;7060;Картридж TK-8118C Азия для Kyocera M8124cidn голубой;47;1;5522;1;5522;25.9;5333;
437368500;6231;Картридж PC-212EV XL для M6502, M6502W, M6552NW черный;29;1;3334;1;3334;19.8;3187;
1283853153;7107;Тонер TK-1170 для Kyocera M2040dn, M2540dn, M2540dw черный;47;1;2886;1;2886;41.6;2617;
1063508735;7021;Картридж W1370A для HP LaserJet M207, LaserJet M208 черный;47;1;2865;1;2865;29.7;2569;
967496417;53415;Картридж для Samsung ML-2015;1;1;2194;1;2194;27.0;3059;
199574591;53401;Картридж для Xerox Phaser 3117;2;1;2032;1;2032;29.2;3059;
1283992398;7112;Тонер TN-241/TN-243/TN-247/TN-421/TN-423 C для Brother;15;1;1730;1;1730;39.9;1569;
199335613;5352;Картридж 712 для Canon LBP3100, LBP-3010 черный;1;1;1395;1;1395;31.2;2455;
1003706468;64523;Чернила для Canon MAXIFY GX7040;2;1;1368;0;0;45.4;1669;
964425718;260730;Чернила для Epson L3060;47;1;899;1;899;32.3;699;
967369762;37374;Чернила для HP Ink Tank 115;47;1;703;0;0;40.5;779;
967369780;37377;Чернила для HP InkTank 415;47;1;651;0;0;40.5;779;
964424309;260720;Чернила для Epson L386;47;1;604;0;0;32.3;699;
964424153;26072;Чернила для Epson L110;47;1;595;0;0;32.3;699;
199331717;0123;Лента KX-FA57A для Panasonic KX-FB423, KX-FHD331 черный;32;0;0;0;0;38.5;1706;2026-08-22
199332164;0644;Картридж 106R01221 для Xerox Phaser 6360DN черный;6;0;0;0;0;34.7;9326;2026-08-22
199333188;1072;Картридж AR-455 для Sharp AR-M351N, AR-M451N черный;20;0;0;0;0;34.6;12980;2026-08-22
199333206;1088;Картридж 106R00652 для Xerox Phaser 7750 черный;7;0;0;0;0;35.4;6549;2026-08-22
199334825;3354;Лента PR-101RF для Brother FAX-1150, FAX-1200P черный;10;0;0;0;0;22.6;1700;2026-08-22
199334863;3469;Картридж 106R03520 для Xerox VersaLink C400 черный;6;0;0;0;0;33.8;4091;2026-08-22
199570169;01232;Лента для принтера для Panasonic KX-FHD332;32;0;0;0;0;38.5;1706;2026-08-22
199570181;01238;Лента для принтера для Panasonic KX-FB423;32;0;0;0;0;38.5;1706;2026-08-22
199570242;01233;Лента для принтера для Panasonic KX-FHD333;32;0;0;0;0;38.5;1706;2026-08-22
199572261;10722;Картридж для Sharp AR-M451N;20;0;0;0;0;34.6;12980;2026-08-22
208141117;33548;Лента для принтера для Brother FAX-1750;10;0;0;0;0;22.6;1700;2026-08-22
208141199;33549;Лента для принтера для Brother FAX-1850;10;0;0;0;0;22.6;1700;2026-08-22
208141792;33541;Лента для принтера для Brother FAX-1150;10;0;0;0;0;22.6;1700;2026-08-22
208141842;33542;Лента для принтера для Brother FAX-1200P;10;0;0;0;0;22.6;1700;2026-08-22
208141945;33546;Лента для принтера для Brother FAX-1550;10;0;0;0;0;22.6;1700;2026-08-22
208142054;335410;Лента для принтера для Brother FAX-1950;10;0;0;0;0;22.6;1700;2026-08-22
208142103;33547;Лента для принтера для Brother FAX-1700;10;0;0;0;0;22.6;1700;2026-08-22
208142140;33543;Лента для принтера для Brother FAX-1250;10;0;0;0;0;22.6;1700;2026-08-22
208142180;33544;Лента для принтера для Brother FAX-1350;10;0;0;0;0;22.6;1700;2026-08-22
208142312;33545;Лента для принтера для Brother FAX-1450;10;0;0;0;0;22.6;1700;2026-08-22
209664460;3686;Картриджи T01C1-T01C4 для Epson WF Pro C529, WF Pro C579;10;0;0;0;0;35.7;34102;2026-08-20
209664670;2858;Картридж T5639 для Epson Stylus Pro 7800 светло-серый;6;0;0;0;0;39.7;7051;2026-08-25
209724732;2444;Картридж C930H для Lexmark C935;5;0;0;0;0;32.0;102397;2026-08-25
209728845;3798;Картридж T04B3 M для Epson WF Pro C8190 пурпурный;36;0;0;0;0;39.3;8074;2026-08-18
209728910;3800;Картриджи T04B1-T04B4 для Epson WF Pro C8190, WF Pro C8690;16;0;0;0;0;35.3;26148;2026-08-20
209729751;3999;Картридж №81 для HP DJ 5000, DJ 5500 пурпурный;9;0;0;0;0;33.9;16612;2026-08-12
209734055;4842;Картридж T46S4 для Epson SureColor P700 желтый;6;0;0;0;0;41.5;4857;2026-08-25
216355771;4326;Фотобарабан 46484105 DU для OKI Data C532, Data C542 желтый;8;0;0;0;0;33.6;16424;2026-08-13
216355796;4329;Фотобарабан 46484108 DU для OKI Data C532, Data C542 черный;6;0;0;0;0;33.2;16424;2026-08-13
216356374;5250;Фотобарабан DK-320 для Kyocera FS-2020, FS-3040 черный;8;0;0;0;0;29.8;82919;2026-08-12
257807664;0082;Картриджи T017-T018 для Epson Stylus 777i, Stylus 680;31;0;0;0;0;50.5;2487;2026-08-25
257945242;4287;Картридж 006R01758 для Xerox C8145, C8155, C8170 черный;47;0;0;0;0;34.5;20744;2026-08-23
261996652;2806;Фотобарабан MLT-R707 DU для Samsung MX SL-K2200 черный;47;0;0;0;0;34.7;33712;2026-08-23
261996683;5426;Фотобарабаны DR-316 для Konica Minolta C250i, C300i, C360i;47;0;0;0;0;48.8;54403;2026-08-20
262191993;5428;Фотобарабан DK-8350 для Kyocera TASKalfa 2552ci черный;47;0;0;0;0;34.0;33712;2026-08-23
262192026;5401;Картридж CF259XD для HP LJ M406, LJ Pro M304 черный;19;0;0;0;0;28.7;8555;2026-08-11
262192154;4673;Картридж T02Q1 для Epson WF C20600D4TW черный;6;0;0;0;0;35.3;22018;2026-08-25
262192186;4580;Картридж LK6YBP для Epson LW 1000P, LW 600P, LW 700;47;0;0;0;0;42.8;3792;2026-08-18
263819501;4288;Картриджи 006R01758-006R01761 для Xerox C8145, C8155, C8170;47;0;0;0;0;32.5;73644;2026-08-25
264243735;4284;Картридж 006R01760 для Xerox C8145, C8155, C8170 пурпурный;47;0;0;0;0;34.5;20744;2026-08-23
264401014;5366;Картридж KX-FA57A (2 в 1) для Panasonic KX-FB423 черный;47;0;0;0;0;34.2;3618;2026-08-22
264917163;1885;Картридж PFI-306PC для Canon iPF9400s фото-голубой;6;0;0;0;0;33.7;35808;2026-08-12
322422931;5826;Фотобарабан 013R00692 для Xerox C310, C315;6;0;0;0;0;35.0;34677;2026-08-20
400980386;4381;Картридж 122 для HP DeskJet 1000, DeskJet 1010 черный;15;0;0;0;0;42.6;7212;2026-08-20
440330831;0084;Картриджи T036-T037 для Epson Stylus C42UX, Stylus C44UX;17;0;0;0;0;48.6;2479;2026-08-22
482592331;2859;Картриджи T6031-T6039 набор cmyk lclm;5;0;0;0;0;33.0;39267;2026-08-25
495565272;6406;Картриджи TNP-22 для Konica Minolta Bizhub C35, Bizhub C35P;47;0;0;0;0;30.9;26231;2026-08-25
498643242;6478;Картриджи T565 для Epson Stylus Pro 4800;5;0;0;0;0;32.1;81938;2026-08-25
547894909;6642;Фотобарабан + картридж DR-316K+TN-328K-C для Konica Minolta;11;0;0;0;0;28.6;75560;2026-08-25
548920022;6653;Фотобарабан + картридж DK-8350+TK-8345 для Kyocera;6;0;0;0;0;27.9;60888;2026-08-25
551146307;6705;Фотобарабан + картридж DK-3170 DU+TK-3160XL для Kyocera;24;0;0;0;0;30.6;61639;2026-08-17
552529903;6728;Фотобарабан + картридж MLT-R707 DU+MLT-D707L для Samsung;47;0;0;0;0;34.1;38167;2026-08-25
811585723;5906;Картридж 106R01599 для Xerox Phaser 6500, WC 6505 пурпурный;24;0;0;0;0;43.2;2225;2026-08-22
811585970;5905;Картридж 106R01598 для Xerox Phaser 6500, WC 6505 голубой;20;0;0;0;0;43.2;2225;2026-08-22
886715070;6930;Фотобарабан 46438004 для OKI Data C823, Data C833 черный;15;0;0;0;0;33.3;28370;2026-08-14
886715840;6929;Фотобарабан 46438003 для OKI Data C823, Data C833 голубой;5;0;0;0;0;29.5;24674;2026-08-20
886746156;6926;Картридж W1460X для HP 3004dn, LJ Pro 3004dw черный;47;0;0;0;0;38.2;4177;2026-08-20
886914071;6922;Фотобарабан W9055MC для HP LJ E87640, LJ E87650, LJ E87660;8;0;0;0;0;34.3;23356;2026-08-20
900618138;6835;Картриджи P300T6KK-W-P300T6KY-W для Sindoh C300, P300;15;0;0;0;0;31.6;86749;2026-08-25
900711910;6834;Картридж P300T6KY-W для Sindoh C300, P300, P300dn желтый;20;0;0;0;0;35.0;25049;2026-08-19
900727605;6833;Картридж P300T6KM-W для Sindoh C300, P300, P300dn пурпурный;20;0;0;0;0;35.0;25049;2026-08-19
900738976;6832;Картридж P300T6KC-W для Sindoh C300, P300, P300dn голубой;20;0;0;0;0;35.0;25049;2026-08-19
900750717;6831;Картридж P300T6KK-W для Sindoh C300, P300, P300dn черный;15;0;0;0;0;35.0;25031;2026-08-19
917182254;6782;Картридж TN-3467 для Brother DCP-L5500, DCP-L6600 черный;47;0;0;0;0;38.5;4277;2026-08-17
964420364;36822;Картридж для Epson WorkForce Pro C579;47;0;0;0;0;37.0;10362;2026-08-20
964510730;43816;Картридж для HP DeskJet 3054;15;0;0;0;0;39.1;7212;2026-08-20
964510881;43819;Картридж для HP Deskjet 3510 All-in-One;15;0;0;0;0;39.1;7212;2026-08-20
964786955;01234;Лента для принтера для Panasonic KX-FHD343;32;0;0;0;0;38.5;1706;2026-08-22
964787058;01235;Лента для принтера для Panasonic KX-FHD351;32;0;0;0;0;38.5;1706;2026-08-22
964787170;01237;Лента для принтера для Panasonic KX-FP363;32;0;0;0;0;38.5;1706;2026-08-22
964787265;01239;Лента для принтера для Panasonic KX-FP343;32;0;0;0;0;38.5;1706;2026-08-22
964882497;10881;Картридж для Xerox Phaser 7750;7;0;0;0;0;35.4;6549;2026-08-22
967346980;36821;Картридж для Epson WorkForce Pro C529;47;0;0;0;0;37.0;10362;2026-08-20
967360100;46781;Картридж для Epson SureColor P6000;4;0;0;0;0;35.2;31712;2026-08-25
967360350;46782;Картридж для Epson SureColor P7000;4;0;0;0;0;35.2;31712;2026-08-25
967360515;46784;Картридж для Epson SureColor P8000;4;0;0;0;0;35.2;31712;2026-08-25
967360638;46785;Картридж для Epson SureColor P9000;4;0;0;0;0;35.2;31712;2026-08-25
967393544;01236;Лента для принтера для Panasonic KX-FHD352;32;0;0;0;0;38.5;1706;2026-08-22
967393631;01231;Лента для принтера для Panasonic KX-FHD331;32;0;0;0;0;38.5;1706;2026-08-22
967403514;10721;Картридж для Sharp AR-M351N;20;0;0;0;0;34.6;12980;2026-08-22
967404768;42871;Картридж для Xerox AltaLink C8145;47;0;0;0;0;34.5;20744;2026-08-23
967404829;42872;Картридж для Xerox AltaLink C8155;47;0;0;0;0;34.5;20744;2026-08-23
967409699;06441;Картридж для Xerox Phaser 6360DT;6;0;0;0;0;34.7;9326;2026-08-22
982417737;5675;Заправочный комплект HP-129/ 130 для HP DeskJet 460c черный;15;0;0;0;0;37.1;2375;2026-08-22
987919984;4678;Картридж T8041 для Epson SureColor P6000 фото-черный;4;0;0;0;0;35.2;31712;2026-08-25
1002545152;06442;Картридж для Xerox Phaser 6360DX;6;0;0;0;0;34.7;9326;2026-08-22
1003421700;46731;Картридж для Epson WorkForce Enterprise C20600D4TW;6;0;0;0;0;35.3;22018;2026-08-25
1003613173;54281;Фотобарабан для Kyocera TASKalfa 2553;47;0;0;0;0;34.0;33712;2026-08-23
1003630110;56752;Заправочный комплект для HP PhotoSmart D5100ser;15;0;0;0;0;36.2;2283;2026-08-22
1003630132;56751;Заправочный комплект для HP PhotoSmart C4100;15;0;0;0;0;36.2;2283;2026-08-22
1003732987;69262;Картридж для HP LaserJet Pro MFP 3104fdw;47;0;0;0;0;38.2;4177;2026-08-20
1025448976;7018;Картридж BPGT70CB для Sharp BP50C26EU, BP50C31EU голубой;8;0;0;0;0;28.7;19277;2026-08-20
1025449668;7020;Картридж BPGT70YB для Sharp BP50C26EU, BP50C31EU желтый;8;0;0;0;0;28.7;19277;2026-08-20
1040453506;43818;Картридж для HP DeskJet 3054A;15;0;0;0;0;39.1;7212;2026-08-20
1289435537;7147;Тонер TK-5230/TK-5240/TK-5430/TK-5440 K для Kyocera черный;12;0;0;0;0;42.5;2009;2026-08-11
1289481539;7151;Заправочный комплект TK5230/TK5240/TK5430/TK5440 для Kyocera;10;0;0;0;0;39.2;5286;2026-08-20
1389485889;7176;Картридж 42STB20 для F+ Imaging MB401, MB402, PB401 черный;38;0;0;0;0;35.2;29967;2026-08-16
1443682093;7200;Картридж TK-1250 для Kyocera ECOSYS MA3500fx черный;47;0;0;0;0;38.4;4667;2026-08-20
