nm_id;артикул;название;открытий;корзин;заказов_орг;продано_май_июл;остаток;чистая_₽_шт;маржа
257945529;4971;Картриджи CLI-42 для Canon Pixma PRO-100 набор cmyk lclmgr;4;1;0;0;26;960;20.99
200166303;02807;Картридж для Samsung ML-1860;20;5;1;46.0;2;183;11.07
200165976;08516;Картридж для Brother DCP-L2500DR;5;0;0;40.0;1;722;35.99
200162872;02862;Картридж для Canon Pixma MP240;3;0;0;0;47;1163;26.08
192567418;0173;Картриджи 106R01335-106R01338 для Xerox Phaser 6125N;3;0;0;0;2;1143;27.97
199333431;1307;Картридж 50F5U00 для Lexmark MS510dn, MS610de черный;5;0;0;1.0;39;685;20.96
209664766;1569;Картридж 70 для HP DJ Z2100, DJ Z2100, DJ Z2100 желтый;4;0;0;0;8;853;29.8
209712098;1570;Картридж 70 для HP DJ Z3100, DJ Z3100 светло-пурпурный;4;0;0;0;13;853;29.8
209664541;1565;Картридж 70 для HP DJ Z3100, DJ Z3100, DJ Z3100 черный;4;0;0;0;47;853;29.8
1003706941;65422;Картридж для HP MFP 1188;5;0;0;0;40;670;28.52
209714757;239512;Картридж для Canon Pixma MG3240;3;0;0;0;1;1113;28.01
262192210;4568;Картридж LK4WBN для Epson LW 1000P, LW 300, LW 400, LW 600P;3;1;0;0;47;1098;43.57
199570768;068317;Картридж для Ricoh Aficio MP2852;3;0;0;0;47;1095;34.97
546296381;6614;Фотобарабан + картридж X-15000+F-1500X для Huawei черный;4;0;0;0;47;781;13.3
209663552;0968;Картридж 72 MBK для HP DJ T795, DJ T1100 черный матовый;3;0;0;0.0;1;1036;33.4
181094927;0304;Картридж 28 для HP DeskJet 3843, DeskJet 3845 цветной;4;0;0;0;3;762;26.61
493592815;6384;Картридж TL-R5220X для BM5201ADN, BM5201ADW черный;4;0;0;4.0;1;758;14.74
192228188;0795;Картридж CLT-Y406S для Samsung CLX-3305, CLX-3305FN желтый;3;0;0;0;1;995;33.46
199574581;53393;Картридж для HP LaserJet P2015D;3;0;0;2.0;2;981;33.24
1003227793;31423;Картридж для Lexmark LaserPrinter-MS410;3;1;0;0;47;980;28.91
181105136;0370;Картриджи CE310A-CE313A для HP LJ Pro Color CP1025NW;4;0;0;3.0;1;722;21.55
216352765;0250;Фотобарабан DR-2275 DU для Brother DCP-7057, HL-2132 черный;3;0;0;4.0;47;951;37.46
850444046;6685;Заправочный комплект 3YM60-61 для HP DeskJet 2320, ENVY 6010;3;0;0;0;6;951;36.0
267893628;2736;Лента TZe-221 для Brother PT-1000, PT-1005, PT-1010 черный;4;0;0;0.0;47;686;42.19
181082746;0430;Картридж 15 для HP DeskJet 3810, DeskJet 3816 черный;3;0;0;0;1;914;22.11
216421567;00024;Картридж для HP LaserJet 1018;25;5;2;95.0;47;108;7.14
199331261;0828;Картридж 7833A002 для Canon PC-D300, PC-D320, PC-L390 черный;3;0;0;0;25;885;26.46
199572251;10711;Картридж для Sharp AR-5625;3;0;0;2.0;6;873;16.25
199574734;53571;Тонер-картридж для Kyocera KM 1500;6;0;0;0.0;6;432;26.6
199573317;23191;Картридж для Lexmark MX317dn;16;1;0;12.0;2;160;9.57
192228177;0792;Картридж CLT-K406S для Samsung CLP-360, CLP-362 черный;3;1;0;0.0;2;820;30.26
199565557;13771;Картридж для HP LaserJet Pro M104a;7;1;0;6.0;2;351;19.85
967520330;57734;Картридж для Canon i-SENSYS MF463dw;8;2;1;0.0;47;301;14.17
199566524;23652;Картридж для Kyocera EcoSys P2335dn;3;0;0;0.0;2;801;35.26
200165441;03282;Картридж для HP PhotoSmart 5510;9;0;0;1.0;4;267;33.03
199330771;3445;Картридж W2073A для HP Laser 179fnw, Laser 179fnw пурпурный;5;1;0;0;5;480;21.37
216429849;1111;Картридж 106R02611 для Xerox Phaser 7100 желтый;3;0;0;0;29;798;20.65
209665132;1109;Картридж 106R02609 для Xerox Phaser 7100 голубой;3;1;0;0;30;798;20.65
199565907;09017;Картридж для Brother MFC-J5910DW;5;0;0;0;1;472;36.85
400980377;4421;Картридж PGI-520BK для Canon Pixma iP3600 черный;4;0;0;0;15;567;37.48
265275962;5289;Картридж T2A для Deli M2000DNW, P2000DNW черный;5;1;0;0;47;438;15.89
215240223;1308;Картридж 50F5X00 для Lexmark MS410d, MS410dn черный;4;0;0;1.0;30;545;20.57
199565431;01041;Картридж для HP Color LaserJet CP2025;4;0;0;0;47;541;23.49
199335614;5355;Картридж 728 для Canon FAX-L150, FAX-L170, FAX-L410 черный;3;0;0;0;47;720;30.63
192227822;0303;Картридж 27 для HP DeskJet 3300, DeskJet 3320 черный;4;0;0;0;15;537;26.23
209664284;12151;Картридж для Lexmark LaserPrinter MX310dn;6;2;1;0;21;353;13.71
209759042;23125;Картридж для HP DJ Ink Advantage 2516;3;0;0;0;3;690;24.04
199331154;0056;Картридж ML-1210 для Samsung ML-1010, ML-1020 черный;6;1;1;4.0;7;343;12.49
200166547;24111;Тонер-картридж для Kyocera Ecosys M8124cidn;3;0;0;0;1;650;22.7
199333435;1382;Картридж 731M для Canon LBP-7110, LBP-7110 пурпурный;5;0;0;0;1;377;17.21
199330791;3899;Картридж №912XL C для HP OfficeJet 8014 голубой;3;0;0;1.0;3;602;37.04
199330728;3898;Картридж №912XL Bk для HP OfficeJet 8012 черный;3;0;0;2.0;1;601;33.15
181097424;0248;Картридж TN-2090 для Brother DCP-7057R, DCP-7057WR черный;4;0;0;1.0;47;447;26.42
199571882;07647;Картридж для HP Color LaserJet Pro 400 MFP M475dw;3;0;0;0;47;586;25.43
181115766;1483;Картридж PGI-1400XLBK для Canon MB2040, MB2040 черный;3;0;0;0;1;567;42.51
967478075;221214;Картридж для Epson LX-300+;3;1;0;0;47;563;40.79
209666380;1545;Картридж T966 для Epson Stylus Photo R2880 светло-пурпурный;3;0;0;0;1;562;42.45
209665348;3894;Картридж LC-3239XLY для Brother HL-J6000DW желтый;4;0;0;0.0;29;412;30.24
257807662;0064;Картриджи T0501-T0520 для Epson Stylus 760, Stylus 800;3;1;0;0;47;548;30.79
181052388;0027;Картридж CE505X для HP LJ P2050, LJ P2055, LJ P2055n черный;6;0;0;0;1;271;14.85
199570318;02495;Картридж для Brother DCP-7065DNR;4;0;0;1.0;47;403;22.37
209664536;1383;Картридж 731Y для Canon MF623cn, MF623cn, MF623cn желтый;3;0;0;0;1;517;21.36
250288138;5520;Картридж 071 для Canon LBP120, LBP122dw, MF270 черный;4;0;0;8.0;47;387;20.88
181095500;0308;Картридж 135 для HP DeskJet 460c, DeskJet 460cb цветной;4;1;0;0;47;363;16.45
181123617;1171;Фотобарабан DR-1075 DU для Brother DCP-1510, HL-1110 черный;4;0;0;0.0;47;355;19.25
216430441;38557;Чернила для Epson L-1455;4;0;0;0;1;354;37.87
215239663;3444;Картридж W2071A для HP Laser 150a, Laser 178nw голубой;5;1;0;0;1;271;13.35
199332952;0984;Картридж 43640302 для OKI B2200, B2400 черный;3;0;0;0;25;439;21.11
200166274;02801;Картридж для Samsung ML-1660;5;2;1;23.0;2;247;14.99
199332033;0497;Картридж T0551 для Epson Stylus Photo RX420 черный;3;0;0;0;2;384;40.66
199565707;22932;Картридж для HP Color LJ Pro M180n;3;0;0;0;1;383;18.09
216352768;2316;Фотобарабан DR-1095 DU для Brother DCP-1602, HL-1202 черный;3;1;1;1.0;47;378;23.19
209663303;02751;Картридж для Samsung SCX-4600;4;1;1;6.0;1;278;13.61
199331327;2297;Картридж 045H Y для Canon MF633Cdw, MF633Cdw желтый;5;1;0;1.0;1;222;11.84
199570327;02493;Картридж для Brother HL-2250DNR;6;0;0;0;47;163;11.58
200165455;032821;Картридж для HP PhotoSmart Plus B210b;3;0;0;0.0;2;322;35.81
199331749;0249;Картридж TN-2275 для Brother DCP-7060DR, DCP-7065DNR черный;4;0;0;0;47;223;14.81
209713724;3620;Картридж 731Bk для Canon MF8280cw, MF8280cw черный;3;0;0;0.0;1;268;13.05
199570361;02693;Картридж для Samsung CLP-325;3;0;0;3.0;1;264;13.34
199331545;3907;Картридж W1106A для HP Laser 107A, Laser 107R черный;7;0;0;5.0;47;107;6.58
200166560;17182;Картридж для Kyocera EcoSys M2635dn;4;1;0;8.0;2;171;13.92
200166351;02806;Картридж для Samsung ML-1670;3;0;0;0;2;188;11.41
546195911;6606;Фотобарабан + картридж CLT-R407+ CLT-K407S для Samsung;3;0;0;0.0;17;163;1.96
263820530;0841;Картридж T1714 для Epson XP-33, XP-403, XP-33, XP-33 желтый;3;0;0;0;1;159;27.51
199330952;0788;Картридж 106r01633 для Xerox Phaser 6000, WC 6015 желтый;4;0;0;2.0;2;95;8.23
199566477;23654;Картридж для Kyocera EcoSys M2235dn;4;1;1;19.0;2;84;6.03
200166692;07343;Картридж для Xerox WorkCentre 3045;8;3;1;3.0;47;22;1.88
